order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,category,sub_category,product_name,quantity,unit_price,discount,revenue,cost,profit
ORD-10084,2023-08-01,2023-08-08,First Class,CUST-1894,Adam Murray,Consumer,South,Wyoming,Furniture,Tables,Martinez-Henson Tables,7,1099.11,0.0,7693.77,5284.88,2408.89
ORD-10085,2021-06-06,2021-06-11,First Class,CUST-1397,Michael Wallace,Corporate,East,Florida,Office Supplies,Labels,Walker-Snow Labels,2,9.21,0.0,18.42,11.88,6.54
ORD-10086,2021-12-29,2022-01-05,Second Class,CUST-2154,Dawn Townsend,Home Office,West,Oregon,Furniture,Desks,Nichols-Diaz Desks,3,359.9,0.0,1079.7,662.8,416.9
ORD-10087,2023-06-25,2023-07-01,First Class,CUST-1115,Miss Tina Brown,Corporate,North,Louisiana,Furniture,Shelving,"Palmer, Campos and Miller Shelving",10,207.18,0.0,2071.8,967.68,1104.12
ORD-10088,2023-08-06,2023-08-11,Standard Class,CUST-2834,James Smith,Consumer,West,Wyoming,Office Supplies,Storage,"Brown, Smith and Bowman Storage",1,41.63,0.0,41.63,24.01,17.62
ORD-10089,2022-12-05,2022-12-11,Same Day,CUST-1080,Donna Hernandez,Consumer,West,Alabama,Furniture,Desks,"Parrish, Lewis and Patrick Desks",8,453.68,0.05,3447.97,2449.08,998.89
ORD-10090,2021-04-18,2021-04-25,Same Day,CUST-1675,Julian Smith,Consumer,West,Oklahoma,Office Supplies,Labels,"Curtis, Rojas and Olson Labels",3,11.41,0.0,34.23,18.3,15.93
ORD-10091,2023-03-14,2023-03-16,Second Class,CUST-1634,Marissa Juarez,Home Office,West,Maryland,Office Supplies,Pens & Pencils,"Mills, Robinson and Stark Pens & Pencils",10,18.65,0.2,149.2,98.39,50.81
ORD-1316,2022-03-15,2022-03-18,First Class,CUST-1463,Steven Webb,Consumer,South,Alabama,Furniture,Bookcases,Wade Ltd Bookcases,9,417.8,0.0,3760.2,1861.55,1898.65
ORD-10093,2021-09-26,2021-10-01,Standard Class,CUST-2702,Robin King,Home Office,South,Iowa,Technology,Printers,"Yang, Atkinson and Myers Printers",2,519.1,0.05,986.29,694.66,291.63
ORD-10094,2023-07-09,2023-07-11,Same Day,CUST-2656,William Pierce,Corporate,South,Colorado,Furniture,Tables,Harris-Schwartz Tables,6,180.3,0.1,973.62,690.29,283.33
ORD-10095,2021-11-28,2021-12-05,Same Day,CUST-2787,Patricia Cummings PhD,Corporate,North,Connecticut,Office Supplies,Envelopes,Turner-Rosales Envelopes,8,28.57,0.0,228.56,126.77,101.79
ORD-10096,2022-07-13,2022-07-17,Standard Class,CUST-1895,Erin Pittman,Consumer,South,Wyoming,Furniture,Tables,"Jones, Cruz and Kennedy Tables",9,1326.28,0.2,9549.22,7648.67,1900.55
ORD-10097,2022-04-05,2022-04-06,Second Class,CUST-2463,Sandra Grant,Home Office,East,Utah,Office Supplies,Pens & Pencils,Sanders-Cooper Pens & Pencils,7,23.4,0.0,163.8,77.05,86.75
ORD-10098,2021-06-12,2021-06-13,Same Day,CUST-2123,Edgar Fisher,Home Office,West,Illinois,Technology,Monitors,Garcia-Gentry Monitors,8,178.73,0.1,1286.86,645.31,641.55
ORD-10099,2023-10-21,2023-10-26,Same Day,CUST-2177,Andrea Thompson,Consumer,South,Mississippi,Technology,Printers,"Mcgee, Cameron and Andrews Printers",2,203.57,0.0,407.14,268.38,138.76
ORD-10100,2023-12-14,2023-12-19,Standard Class,CUST-2134,Amanda Zuniga,Consumer,West,Alaska,Office Supplies,Storage,"Barrera, Russell and Jordan Storage",6,10.11,0.0,60.66,32.77,27.89
ORD-10101,2021-08-01,2021-08-08,,CUST-1273,Jonathan Newton,Consumer,East,Nevada,Office Supplies,Paper,Cortez Group Paper,6,39.96,0.0,239.76,128.56,111.2
ORD-10102,2021-05-10,2021-05-16,Same Day,CUST-1600,Daniel Garcia,Consumer,North,Kansas,Furniture,Bookcases,"Carroll, Welch and Jones Bookcases",3,417.94,0.15,1065.75,818.59,247.16
ORD-10103,2022-01-27,2022-01-30,Same Day,CUST-2773,Mark Oconnell,Home Office,East,Minnesota,Technology,Laptops,Whitehead LLC Laptops,5,1041.83,0.05,4948.69,3325.12,1623.57
ORD-10104,2023-10-16,2023-10-19,Same Day,CUST-2640,Ashley Torres,Consumer,West,Kansas,Office Supplies,Paper,Aguilar and Sons Paper,7,48.96,0.2,274.18,170.23,103.95
ORD-10105,2023-07-03,2023-07-08,Standard Class,CUST-1909,Scott Martin,Corporate,West,New Hampshire,Technology,Phones,Peters-Wallace Phones,3,802.45,0.05,2286.98,1261.23,1025.75
ORD-10106,2023-01-15,2023-01-20,Standard Class,CUST-2951,Sarah Morrison,Consumer,South,Nebraska,Technology,Accessories,"Campbell, Taylor and Jones Accessories",6,131.81,0.05,751.32,481.93,269.39
ORD-10107,2021-11-11,2021-11-17,First Class,CUST-1909,Rachel Johnson,Consumer,South,Wyoming,Furniture,Tables,"Clayton, Brown and Robinson Tables",2,168.02,0.0,336.04,198.87,137.17
ORD-10108,2021-08-30,2021-09-02,Second Class,CUST-1439,Michael Roberts,Home Office,East,Colorado,Furniture,Bookcases,"Schaefer, Frazier and Baker Bookcases",5,235.13,0.0,1175.65,642.78,532.87
ORD-10109,2022-10-17,2022-10-23,Same Day,CUST-2110,Jacqueline Rogers,Corporate,East,Oklahoma,Furniture,Tables,Tyler Inc Tables,3,396.25,0.15,1010.44,775.81,234.63
ORD-10110,2022-04-30,2022-05-07,Standard Class,CUST-2172,Charles Hill,Corporate,West,Hawaii,Technology,Accessories,"Goodman, Tucker and Lewis Accessories",3,109.34,0.15,278.82,212.56,66.26
ORD-10111,2021-06-01,2021-06-03,Same Day,CUST-1921,Kimberly Wright,Corporate,East,Kentucky,Furniture,Desks,Tanner Inc Desks,2,773.14,0.0,1546.28,993.16,553.12
ORD-10112,2022-09-15,2022-09-17,Standard Class,CUST-1461,Dale Bond,Corporate,East,Oregon,Technology,Tablets,Johnson Group Tablets,3,565.87,0.1,1527.85,983.81,544.04
ORD-10113,2021-11-12,2021-11-14,Standard Class,CUST-2239,Brian Simon,Corporate,North,Utah,Technology,Printers,"Brown, Little and Clark Printers",9,182.08,0.0,1638.72,806.51,832.21
ORD-10114,2022-08-17,2022-08-23,Same Day,CUST-2648,Daniel Clark,Home Office,West,Alabama,Technology,Laptops,Thornton-Christian Laptops,10,663.65,0.0,6636.5,3036.67,3599.83
ORD-10115,2022-10-03,2022-10-10,Same Day,CUST-2762,Brittany Vance,Corporate,West,Iowa,Office Supplies,Storage,Mccarthy-Byrd Storage,1,15.11,0.0,15.11,9.09,6.02
ORD-10116,2021-04-14,2021-04-17,First Class,CUST-1856,Jennifer Rivera,Consumer,South,West Virginia,Technology,Printers,Holt Inc Printers,2,347.79,0.0,695.58,337.51,358.07
ORD-10117,2021-02-17,2021-02-18,Same Day,CUST-2979,Deanna Hall,Consumer,South,South Carolina,Office Supplies,Labels,Wright and Sons Labels,4,14.98,0.1,53.93,31.59,22.34
ORD-10118,2021-08-09,2021-08-13,Same Day,CUST-1749,Lori Smith,Corporate,East,Oregon,Furniture,Bookcases,"Yoder, Brown and Skinner Bookcases",5,81.41,0.0,407.05,184.0,223.05
ORD-10119,2022-07-27,2022-08-03,Standard Class,CUST-1243,David Rose,Consumer,North,New Jersey,Technology,Phones,Lewis-Villa Phones,9,251.16,0.0,2260.44,1271.7,988.74
ORD-10120,2023-10-22,2023-10-23,Second Class,CUST-1682,Adam Brown,Corporate,West,Nebraska,Office Supplies,Pens & Pencils,Koch and Sons Pens & Pencils,6,20.28,0.05,115.6,70.24,45.36
ORD-10121,2022-09-05,2022-09-10,Second Class,CUST-2090,Sarah Frost,Corporate,East,Washington,Technology,Tablets,Gutierrez-Lopez Tablets,3,730.54,0.0,2191.62,1324.01,867.61
ORD-10122,2022-04-12,2022-04-18,Standard Class,CUST-2073,Jessica Robinson MD,Home Office,West,Utah,Office Supplies,Paper,Lowe-Hall Paper,2,25.26,0.3,35.36,26.09,9.27
ORD-10123,2023-04-26,2023-05-02,Standard Class,CUST-2252,Blake Middleton,Corporate,North,Illinois,Technology,Accessories,Williams-Gardner Accessories,10,43.91,0.3,307.37,243.57,63.8
ORD-10124,2023-12-28,2023-12-31,Same Day,CUST-2776,Blake Wolfe,Home Office,East,Texas,Furniture,Desks,"Franklin, Taylor and Johnson Desks",9,670.55,0.0,6034.95,2977.01,3057.94
ORD-10125,2023-09-29,2023-10-02,First Class,CUST-2913,Eric Hudson,Home Office,East,Florida,Furniture,Tables,Nichols LLC Tables,4,385.32,0.0,1541.28,965.19,576.09
ORD-10126,2022-08-18,2022-08-19,First Class,CUST-1709,Rose Ayala,Corporate,East,Washington,Office Supplies,Paper,Anderson-Finley Paper,9,36.54,0.0,328.86,214.14,114.72
ORD-10127,2022-05-06,2022-05-08,First Class,CUST-1462,Raymond Harrison,Home Office,South,Idaho,Furniture,Tables,Little PLC Tables,9,415.3,0.0,3737.7,2257.27,1480.43
ORD-10128,2021-11-20,2021-11-24,Standard Class,CUST-1974,Benjamin Beard,Corporate,South,Alabama,Technology,Laptops,Jimenez PLC Laptops,8,1178.62,0.0,9428.96,6548.2,2880.76
ORD-10129,2021-03-18,2021-03-20,Second Class,CUST-2912,Robert Weber,Consumer,West,Illinois,Office Supplies,Pens & Pencils,Jackson-Stevens Pens & Pencils,1,8.56,0.2,6.85,5.4,1.45
ORD-10130,2022-11-18,2022-11-21,,CUST-2073,Cynthia Guerra,Corporate,South,Iowa,Office Supplies,Binders,Maldonado PLC Binders,5,37.65,0.2,150.6,89.76,60.84
ORD-10131,2022-11-22,2022-11-29,First Class,CUST-1395,Robert Martin,Consumer,West,Wisconsin,Furniture,Tables,Scott Group Tables,2,496.52,0.0,993.04,450.36,542.68
ORD-10132,2021-01-14,2021-01-17,Second Class,CUST-1546,Julia Davis,Corporate,East,Utah,Office Supplies,Labels,Vaughn Ltd Labels,7,7.9,0.1,49.77,37.82,11.95
ORD-10133,2023-10-27,2023-11-02,Standard Class,CUST-2308,Dr. Brandon Martin,Corporate,East,South Dakota,Furniture,Shelving,Bruce-Brooks Shelving,6,42.97,0.1,232.04,126.31,105.73
ORD-10134,2023-08-23,2023-08-30,First Class,CUST-1447,Destiny Baker,Consumer,North,South Carolina,Furniture,Desks,Ross-Weaver Desks,3,341.04,0.0,1023.12,600.89,422.23
ORD-10135,2022-02-19,2022-02-24,Standard Class,CUST-2749,Jose Harris,Home Office,West,Oklahoma,Furniture,Tables,Griffin Group Tables,6,848.88,0.0,5093.28,3441.64,1651.64
